,IL,OME,'Omer,'Omer,,RL,--3-----,0901,,3117N 03451E,
,IL,ABU,Abu Ghosh,Abu Ghosh,JM,RL,--3-----,1601,,3148N 03506E,
,IL,ACR,Acre,Acre,,QQ,1-------,8103,,,
,IL,ADM,Adam,Adam,,AF,--3----B,9803,,,
,IL,ADI,Adanim,Adanim,M,RL,--3-----,1407,,3208N 03454E,
,IL,AFU,Afula,Afula,,RL,--3-----,0201,,3236N 03517E,
,IL,AKK,Akko,Akko,Z,RL,1-3-----,0701,,3255N 03504E,
,IL,ALN,Alenbi,Alenbi,,AF,--3----B,9803,,,
,IL,AHG,Alon Hagalil,Alon Hagalil,Z,RL,--3-----,1601,,3245N 03513E,
,IL,ABB,Alonei Abba,Alonei Abba,Z,RL,--3-----,1601,,3243N 03510E,
,IL,AIM,Alonim,Alonim,Z,RL,--3-----,1601,,3243N 03508E,
,IL,ALU,Alumot,Alumot,Z,RQ,--3-----,1601,,3242N 03532E,
,IL,AMD,Ami'Ad,Ami'Ad,Z,RL,--3-----,1601,,3255N 03532E,
,IL,AMI,Amir,Amir,,RL,--3-----,0901,,3311N 03538E,
,IL,AMR,Amirim,Amirim,Z,RL,--3-----,1601,,3256N 03527E,
,IL,AMM,Amminadav,Amminadav,JM,RL,--3-----,1601,,3145N 03508E,
,IL,IAD,Arad,Arad,D,RL,-----6--,0901,,3115N 03513E,
,IL,ARV,Arava,Arava,,AF,--3----B,9803,,,
,IL,ZIN,Arava Terminal Zin,Arava Terminal Zin,D,AC,-----6--,1301,,3229N 03534E,
,IL,ARB,Arbel,Arbel,Z,RL,--3-----,1601,,3248N 03529E,
,IL,ASU,Arsuf,Arsuf,TA,RL,--3-----,1601,,3211N 03448E,
,IL,ASA,Ashalim,Ashalim,D,RL,--3-----,1707,,3057N 03442E,
,IL,ASH,Ashdod,Ashdod,,QQ,1-------,8103,,,
,IL,BXQ,Ashdod Bonded,Ashdod Bonded,D,AC,-----6--,1301,,3149N 03439E,
,IL,ASB,Ashdod Bonded Air,Ashdod Bonded Air,D,AC,-----6--,1301,,3149N 03439E,
,IL,CXQ,Ashdod Conterm,Ashdod Conterm,D,AC,-----6--,1301,,3149N 03439E,
,IL,ASF,Ashdod Fridenson,Ashdod Fridenson,D,RL,-----6--,1601,,3149N 03439E,
,IL,ASM,Ashdod Granaries,Ashdod Granaries,D,AC,-----6--,1601,,3149N 03439E,
,IL,ASL,Ashdod Logisticare,Ashdod Logisticare,D,AC,-----6--,1701,,3148N 03439E,
,IL,MAS,Ashdod Meshakef,Ashdod Meshakef,D,AC,-----6--,1301,,3149N 03439E,
,IL,MLA,Ashdod Millennium,Ashdod Millennium,TA,AC,--3-----,1301,,3149N 03439E,
,IL,OVO,Ashdod Overseas,Ashdod Overseas,D,AC,-----6--,1301,,3149N 03439E,
,IL,OVS,Ashdod Overseas 2,Ashdod Overseas 2,D,AC,-----6--,1301,,3149N 03439E,
,IL,OVY,Ashdod Overseas Hayovel Terminal,Ashdod Overseas Hayovel Terminal,D,AC,-----6--,1301,,3149N 03439E,
,IL,MRA,Ashdod Rail Terminal,Ashdod Rail Terminal,D,AC,-2------,1601,,3149N 03439E,
,IL,MTS,Ashdod Terminal 207,Ashdod Terminal 207,D,AC,-----6--,1301,,3149N 03439E,
,IL,AYL,Ashdot Ya'Akov Ihud,Ashdot Ya'Akov Ihud,Z,RL,--3-----,1601,,3239N 03534E,
,IL,AKL,Ashkelon,Ashkelon,,RQ,1-------,9506,,,
,IL,ATT,Atlit,Atlit,HA,RL,--3-----,1601,,3241N 03456E,
,IL,AVG,Avigdor,Avigdor,D,RL,--3-----,1601,,3142N 03444E,
,IL,AVI,Avihayil,Avihayil,M,RL,--3-----,1601,,3221N 03452E,
,IL,ALV,Ayalon Valley,Ayalon Valley,JM,RL,-23-----,1701,,3150N 03501E,
,IL,AYA,Ayanot,Ayanot,TA,RL,--3-----,1601,,3154N 03446E,
,IL,AZO,Azor,Azor,TA,RL,--3-----,1601,,3201N 03448E,
,IL,BHN,Bahan,Bahan,,RL,--3-----,1101,,3221N 03501E,
,IL,BAG,Baqa Al-Gharbiyye,Baqa Al-Gharbiyye,HA,RL,--3-----,1601,,3225N 03502E,
,IL,BAR,Bar'am,Bar'am,,RL,--3-----,1207,,3303N 03526E,
,IL,BKN,Barkan Industrial Park,Barkan Industrial Park,,RL,-----6--,1201,,3206N 03507E,
,IL,BHE,Bat Hefer,Bat Hefer,M,RL,--3-----,1601,,3219N 03500E,
,IL,BSH,Bat Shlomo,Bat Shlomo,HA,RL,--3-----,1601,,3235N 03501E,
,IL,BAT,Bat Yam,Bat Yam,,RL,--3-----,9901,,,
,IL,BRZ,Bazra,Bazra,M,RL,--3-----,0701,,3212N 03452E,
,IL,BEE,Be'er Ya'akov,Be'er Ya'akov,,RL,--3-----,0901,,3156N 03450E,
,IL,BER,Be'Eri,Be'Eri,D,RL,--3-----,1601,,3125N 03429E,
,IL,BEY,Be'erot Yitzhak,Be'erot Yitzhak,,RL,--3-----,0901,,3203N 03455E,
,IL,BEV,Beer Sheba,Beer Sheba,,AI,---4----,9601,,,
,IL,BVQ,Beer-Tuvia,Beer-Tuvia,D,RL,--3-----,1501,,3146N 03443E,
,IL,BBE,Beit Berl,Beit Berl,M,RL,--3-----,1601,,3211N 03455E,
,IL,SHI,Beit Hashita,Beit Hashita,,RL,--3-----,0901,,,
,IL,BHA,Beit Hashmonay,Beit Hashmonay,M,RL,--3-----,1601,,3153N 03454E,
,IL,HIL,Beit Hillel,Beit Hillel,Z,RL,--3-----,1601,,3312N 03536E,
,IL,BJN,Beit Jann,Beit Jann,Z,RL,--3-----,1601,,3257N 03522E,
,IL,BEI,Beit Kama,Beit Kama,,RL,--3-----,0901,,3127N 03446E,
,IL,BE8,Beit Nehemia,Beit Nehemia,TA,RL,--3-----,1701,,3158N 03457E,
,IL,JCT,Beit Shean Jordan Cargo Terminal,Beit Shean Jordan Cargo Terminal,Z,AC,-----6--,1301,,3249N 03556E,
,IL,MJO,Beit Shean Jordan Meshakef,Beit Shean Jordan Meshakef,Z,AC,-----6--,1301,,3249N 03555E,
,IL,BSR,Beit Shean Rail Terminal,Beit Shean Rail Terminal,Z,AC,-----6--,1701,,3230N 03530E,
,IL,BYA,Beit Yanai,Beit Yanai,M,RL,--3-----,1601,,3222N 03451E,
,IL,BTZ,Beit Zera,Beit Zera,Z,RL,-23-----,0307,,3241N 03534E,
,IL,BGA,Ben Gurion International Apt,Ben Gurion International Apt,TA,RL,--34----,0901,TLV,3201N 03453E,
,IL,BEN,Ben Shemen,Ben Shemen,M,RL,--3-----,1601,,3157N 03454E,
,IL,BBK,Bene Beraq,Bene Beraq,,RL,--3-----,0201,,3205N 03451E,
,IL,BTD,Bet Dagan,Bet Dagan,,RL,-----6--,1107,,3200N 03449E,
